2dmatpedia id,"2dmatpedia band structure (BG, VBM, CBM)","preds band structure (BG, Direc BG, VBM, CBM)"
2dm-118,"[0.0, nan, nan]","[0.1061927080154419, 0.18385982513427734, -4.469526290893555, -4.317325592041016]"
2dm-119,"[0.0, nan, nan]","[0.04137265682220459, 0.043914079666137695, -3.966621160507202, -3.896643877029419]"
2dm-120,"[0.0, nan, nan]","[0.02021658420562744, 0.01166224479675293, -4.32796573638916, -4.291386127471924]"
2dm-121,"[3.0332000255584717, -8.455400466918945, -5.4222002029418945]","[4.343654632568359, 4.559100151062012, -11.162824630737305, -6.824532508850098]"
2dm-122,"[0.0, nan, nan]","[0.12039351463317871, 0.1244809627532959, -4.510701656341553, -4.347476959228516]"
2dm-123,"[0.0, nan, nan]","[0.2722245454788208, 0.2875007390975952, -4.653320789337158, -4.346715450286865]"
2dm-124,"[1.0684000253677368, -3.9472999572753906, -2.8789000511169434]","[1.4293962717056274, 1.4008772373199463, -5.16383171081543, -3.7345681190490723]"
2dm-125,"[2.907099962234497, -4.644700050354004, -1.7375999689102173]","[3.820037364959717, 3.8281328678131104, -7.598879337310791, -3.778062105178833]"
2dm-126,"[2.186300039291382, -4.360899925231934, -2.1745998859405518]","[3.2925925254821777, 3.843945026397705, -7.305360794067383, -4.022326469421387]"
2dm-127,"[2.9005002975463867, -5.308499813079834, -2.4079999923706055]","[3.405730962753296, 3.6963348388671875, -7.511614799499512, -4.098422527313232]"
2dm-128,"[0.0, nan, nan]","[0.10656356811523438, 0.09044480323791504, -3.989415407180786, -3.8674352169036865]"
2dm-129,"[1.1928999423980713, -4.000500202178955, -2.8076000213623047]","[1.7084462642669678, 1.6860308647155762, -6.6084747314453125, -4.895058631896973]"
2dm-130,"[0.0, nan, nan]","[1.064291000366211, 1.3183790445327759, -6.327362060546875, -5.164397716522217]"
2dm-131,"[4.314499855041504, -6.397799968719482, -2.0833001136779785]","[4.728594779968262, 4.7729949951171875, -7.889026641845703, -3.135816812515259]"
2dm-132,"[1.4947999715805054, -2.5882999897003174, -1.093500018119812]","[2.1248726844787598, 2.5568971633911133, -5.369702339172363, -3.2621655464172363]"
2dm-133,"[0.0, nan, nan]","[0.0018279552459716797, -0.001959085464477539, -4.609336853027344, -4.603804111480713]"
2dm-134,"[0.0, nan, nan]","[0.029496073722839355, 0.05559253692626953, -4.533816337585449, -4.562840461730957]"
2dm-135,"[0.0, nan, nan]","[0.029837965965270996, 0.04318881034851074, -4.438873767852783, -4.383141040802002]"
2dm-136,"[2.9607999324798584, -3.8078999519348145, -0.847100019454956]","[3.3441481590270996, 3.5336618423461914, -6.355852127075195, -3.0084381103515625]"
2dm-137,"[0.8938000202178955, -2.5028998851776123, -1.6090999841690063]","[0.7572697401046753, 0.7805763483047485, -5.295367240905762, -4.525055885314941]"
2dm-138,"[3.982100009918213, -7.860400199890137, -3.8782999515533447]","[5.647260665893555, 5.756409645080566, -10.366148948669434, -4.710363864898682]"
